source_marketplace,listing_id,sku,client_product_title,client_scope_state
ozon,1948032144,2271210394,"Знак зодиака ""Близнецы"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948039800,2271219774,"Знак зодиака ""Весы"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948064495,2271234726,"Знак зодиака ""Водолей"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948071647,2271240621,"Знак зодиака ""Дева"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948079096,2271246783,"Знак зодиака ""Козерог"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948085774,2271251938,"Знак зодиака ""Овен"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948098351,2271262133,"Знак зодиака ""Рак"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948107866,2271270261,"Знак зодиака ""Рыбы"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948116414,2271275793,"Знак зодиака ""Скорпион"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948128035,2271285786,"Знак зодиака ""Стрелец"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,1948138072,2271292556,"Знак зодиака ""Телец"" (Символы)",IN_SCOPE_CLIENT_SUPPLIED
ozon,2020661872,2326866320,Спаси и Сохрани,IN_SCOPE_CLIENT_SUPPLIED
ozon,2324003802,2559437928,"""Чур""",IN_SCOPE_CLIENT_SUPPLIED
ozon,2324384021,2559748332,"""Герб России""",IN_SCOPE_CLIENT_SUPPLIED
ozon,2324467855,2559817779,"""Герб России"" (Логотип)",IN_SCOPE_CLIENT_SUPPLIED
