source_marketplace,listing_id,sku,client_product_title,client_scope_state
wildberries,459997109,2044722908990,"Талисман - Подвеска на зеркало в машину ""Овен""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459949761,2044722384466,"Талисман - Подвеска на зеркало в машину ""Водолей""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459976149,2044722552742,"Талисман - Подвеска на зеркало в машину ""Козерог""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459976154,2044722685488,"Талисман - Подвеска на зеркало в машину ""Рыбы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459949763,2044722398449,"Талисман - Подвеска на зеркало в машину ""Дева""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459976156,2044722710968,"Талисман - Подвеска на зеркало в машину ""Стрелец""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459976157,2044722724170,"Талисман - Подвеска на зеркало в машину ""Телец""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459976151,2044722633618,"Талисман - Подвеска на зеркало в машину ""Овен""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459997104,2044722782347,"Талисман - Подвеска на зеркало в машину ""Весы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262669816,2041250121419,"Талисман - Подвеска на зеркало в машину ""Овен""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262678024,2041250183325,"Талисман - Подвеска на зеркало в машину ""Рак""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262622381,2041248472844,"Талисман - Подвеска на зеркало в машину ""Козерог""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262629137,2041249228136,"Талисман - Подвеска на зеркало в машину ""Телец""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262661039,2041249968223,"Талисман - Подвеска на зеркало в машину ""Весы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262669813,2041250026332,"Талисман - Подвеска на зеркало в машину ""Водолей""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262678027,2041250219130,"Талисман - Подвеска на зеркало в машину ""Стрелец""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262678025,2041250194659,"Талисман - Подвеска на зеркало в машину ""Рыбы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262669814,2041250026233,"Талисман - Подвеска на зеркало в машину ""Дева""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,262669815,2041250052638,"Талисман - Подвеска на зеркало в машину ""Лев""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,249560501,2040835482037,"Амулет в машину ""Вегвизир - Рунический компас"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,249561186,2040835495761,"Амулет в машину ""Древо Жизни"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,249561535,2040835503275,"Амулет в машину ""Гунгнир (Gungner)"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,249561878,2040835508942,"Амулет в машину ""Валькнут (Valknut)"" Узел павших.",IN_SCOPE_CLIENT_SUPPLIED
wildberries,250073152,2040853371382,"Талисман - Подвеска на зеркало в машину ""Инь и Ян""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,250073946,2040853385181,"Талисман - в машину ""Ом (санскр. ) или Аум""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,250074265,2040853401119,"Талисман - в машину ""Бусидо - Путь Воина""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459997111,2044722952269,"Талисман - Подвеска на зеркало в машину ""Рыбы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,459997112,2044722960707,"Талисман - Подвеска на зеркало в машину ""Скорпион""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,249560898,2040835489852,"Амулет в машину ""Шлем ужаса - Эгисхьяльм"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,481155639,2045067148331,"Подвеска на зеркало в машину. ""Герб России"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,481158607,2045067324278,"Подвеска на зеркало в машину. ""Герб России"".",IN_SCOPE_CLIENT_SUPPLIED
wildberries,481065332,2045064413654,"Православный Оберег в машину. ""Молитва Иоанна Златоуста""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,481070948,2045065758976,"Православный Оберег в машину. ""Спаси и Сохрани""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,462723607,2044762716548,"Талисман - Подвеска на зеркало в машину ""Скорпион""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,446294516,2044473058630,"Талисман - Подвеска на зеркало в машину ""Близнецы""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,258583981,2041137147167,"Чётки - Талисман в машину ""Русская Община""",IN_SCOPE_CLIENT_SUPPLIED
wildberries,250072894,2040853359595,"Чётки - Талисман в машину ""Русская Община""",IN_SCOPE_CLIENT_SUPPLIED
